"","Probeset_ID","t_stats","p_value","adjust_p"
"205488_at.t","205488_at",3.07768552000407,0.00259103355548941,0.00351050652518078
"205498_at.t","205498_at",8.85526772645163,2.00094594901138e-14,5.11427086466848e-14
"205499_at.t","205499_at",10.2753739150133,1.63915036407138e-18,5.67769051446443e-18
"205501_at.t","205501_at",5.31858915127916,4.37865837405941e-07,7.36673183591754e-07
"205513_at.t","205513_at",-5.54470178596766,2.34780090019134e-07,4.02067469596526e-07
"205514_at.t","205514_at",5.38734776577116,3.74094454484421e-07,6.3146483992905e-07
"205518_s_at.t","205518_s_at",10.2133874847133,1.91799670620755e-17,6.22129863814355e-17
"205525_at.t","205525_at",13.7434989090045,2.99648001745719e-24,1.64430498448995e-23
"205528_s_at.t","205528_s_at",13.1868930877163,1.41777883779026e-20,5.81935496154662e-20
"205529_s_at.t","205529_s_at",17.5397062881491,2.58075393786081e-30,2.66968532355736e-29
"205534_at.t","205534_at",8.57302316553432,9.60223919447592e-14,2.36350935799721e-13
"205543_at.t","205543_at",-2.88067027530909,0.00465927446182345,0.00619752319813353
"205549_at.t","205549_at",4.25212971380288,5.88780723706627e-05,8.82882750239811e-05
"205554_s_at.t","205554_s_at",-7.7387801280482,2.31991185650188e-12,5.20027094041636e-12
"205559_s_at.t","205559_s_at",12.2640441206045,6.41614843089343e-23,3.11845182466598e-22
"205568_at.t","205568_at",8.5760884877669,1.13595081571829e-13,2.78708445330882e-13
"205578_at.t","205578_at",9.10289643292049,3.58772820576225e-15,9.79110852588592e-15
"205624_at.t","205624_at",7.64768778864719,3.91707909324204e-12,8.61644840769191e-12
"205654_at.t","205654_at",-5.58372169128371,1.37158702117405e-07,2.37545218259895e-07
"205681_at.t","205681_at",8.22720736863265,3.47100914765848e-13,8.2645645490904e-13
"205700_at.t","205700_at",14.4109174986723,2.02089431368309e-24,1.11696360803206e-23
"205713_s_at.t","205713_s_at",12.8074920987427,2.19168426698121e-20,8.85347918930934e-20
"205729_at.t","205729_at",11.8449168216252,2.29782103434089e-19,8.66493596939878e-19
"205767_at.t","205767_at",4.48369867057898,1.70044639202885e-05,2.62173557522273e-05
"205776_at.t","205776_at",-7.87941236817661,1.4937992498837e-12,3.39318494298507e-12
"205782_at.t","205782_at",8.63953523560749,2.37281725632671e-12,5.31108657812309e-12
"205786_s_at.t","205786_s_at",15.479866774385,2.54319791606326e-27,1.81099349278737e-26
"205792_at.t","205792_at",5.29218352709172,1.7118828465295e-06,2.80910250593425e-06
"205795_at.t","205795_at",5.1371282266187,1.28718032009748e-06,2.12586091701105e-06
"205799_s_at.t","205799_s_at",-5.37513083357133,3.66873609794435e-07,6.19959709266313e-07
"205802_at.t","205802_at",15.113206170062,6.31683235611181e-26,3.96355341688819e-25
"205803_s_at.t","205803_s_at",13.1579134989678,3.07924850611549e-21,1.32798013038389e-20
"205815_at.t","205815_at",-5.74397425467967,6.30603637975346e-08,1.10971743648305e-07
"205825_at.t","205825_at",-4.69466412420046,6.81921645824894e-06,1.08188812410146e-05
"205860_x_at.t","205860_x_at",2.36107612577165,0.0198447857795134,0.0253186391903625
"205863_at.t","205863_at",4.10578314174125,0.000102852824066291,0.00015258495508284
"205880_at.t","205880_at",20.0739790454497,5.11785364100661e-37,1.53635959301591e-35
